"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS date2","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility"
"012500","08","FMC CAPITOL CITY","255 S JACKSON STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 263-1028","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","9","19","72","19","26","55","26","74","5","32","63","12","32","56","15","30","55"
"012501","08","GADSDEN DIALYSIS","409 SOUTH FIRST STREET","","GADSDEN","AL","35901","ETOWAH","(256) 547-2457","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012502","08","TUSCALOOSA UNIVERSITY DIALYSIS","220 15TH STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 345-6004","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","16","17","67","13","24","63","25","75","14","21","65","12","29","59","4","24","72"
"012505","08","PCD MONTGOMERY","1001 FOREST AVENUE","","MONTGOMERY","AL","36106","MONTGOMERY","(334) 269-9416","Profit","Yes","DAVITA","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012506","08","DOTHAN DIALYSIS","216 GRACELAND DR.","","DOTHAN","AL","36305","HOUSTON","(334) 793-4077","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","12","15","73","14","23","63","20","80","2","19","79","6","29","65","5","21","74"
"012507","08","FMC MOBILE","2620 OLD SHELL RD","","MOBILE","AL","36607","MOBILE","(251) 476-2762","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","25","18","57","29","21","50","23","77","21","29","50","22","32","46","24","24","52"
"012508","08","BIRMINGHAM EAST DIALYSIS","1105 EAST PARK DRIVE","","BIRMINGHAM","AL","35235","JEFFERSON","(205) 833-6003","Profit","Yes","GAMBRO HEALTHCARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","27","13","60","39","22","39","28","72","18","30","52","29","35","36","32","36","32"
"012509","08","FMC NORTH ALABAMA","1311 N MEMORIAL PKWY #200","","HUNTSVILLE","AL","35801","MADISON","(256) 536-8571","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012512","08","FMC SELMA","905 MEDICAL CENTER PARKWAY","","SELMA","AL","36701","DALLAS","(334) 874-9021","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012513","08","FMC LANGDALE","8 MEDICAL PARK","","VALLEY","AL","36854","CHAMBERS","(334) 756-4192","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","18","20","62","22","27","51","25","75","19","20","61","16","29","55","12","30","58"
"012515","08","FMC OPELIKA","2609 VILLAGE PROFESSIONAL DR","STE 2","OPELIKA","AL","36801","LEE","(334) 749-5085","Profit","Yes","FRESENIUS MEDICAL CARE","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","001","20","14","66","31","19","50","27","73","12","21","67","18","36","46","16","23","61"
"012516","08","DSI SOUTH DIALYSIS","3201 3RD AVE SOUTH","","BIRMINGHAM","AL","35222","JEFFERSON","(205) 502-5300","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/08/2015 - 06/30/2015","10/20/2015 - 01/11/2016","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
