"Provider Number","Network","Facility Name ","Address Line 1","Address Line 2","City","State ","Zip","County","Phone Number","Profit or Non-Profit","Chain Owned","Chain Organization ","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients-nephrologists’ communication and caring","Middle box percent of patients-nephrologists’ communication and caring","Top box percent of patients-nephrologists’ communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Lower box percent of patients-providing information to patients ","Top box percent of patients- providing information to patients","Lower box percent of patients-rating of the nephrologist ","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff ","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff ","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility ","Top box percent of patients-rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys"
"032616","15","032616 DESERT DIALYSIS SAHUARITA (DCI)","1700 W COMMERCE POINTE PL","","SAHUARITA","AZ","85629","PIMA","5206250103","2","Y","DIALYSIS CLINIC, INC.","22Apr2016-13Jan2017","001","7","13","80","11","24","65","17","83","5","10","85","4","28","68","3","13","84","32"
"032617","15","032617 TUCSON WEST DIALYSIS CENTER (FMC)","100 W GRANT RD","","TUCSON","AZ","85705","PIMA","5206240266","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","15","20","65","21","25","54","20","80","17","25","58","15","24","61","9","20","71","32"
"032618","15","032618 NORTHWEST TUCSON DIALYSIS (DVA)","2945 W INA RD STE 105","","TUCSON","AZ","85741","PIMA","5207970049","1","Y","DAVITA","22Apr2016-13Jan2017","001","12","11","77","13","18","69","15","85","7","15","78","6","15","79","7","19","74","49"
"032619","15","032619 MOUNTAIN VISTA DIALYSIS OF ARIZONA (DVA)","10238 E HAMPTON AVE STE 108","","MESA","AZ","85209","MARICOPA","4803570366","1","Y","DAVITA","22Apr2016-13Jan2017","001","22","26","52","18","20","62","15","85","19","38","43","16","23","61","15","19","66","45"
"032620","15","032620 GRAND HOME DIALYSIS (DVA)","14674 W MOUNTAIN VIEW BLVD STE 204","","SURPRISE","AZ","85374","MARICOPA","6235466120","1","Y","DAVITA","22Apr2016-13Jan2017","102","","","","","","","","","","","","","","","","","",""
"032621","15","032621 WEST BROOK DIALYSIS (DVA)","13907 W CAMINO DEL SOL","","SUN CITY WEST","AZ","85375","MARICOPA","6232147088","1","Y","DAVITA","22Apr2016-13Jan2017","001","19","17","64","19","20","61","19","81","10","41","49","10","16","74","9","21","70","68"
"032622","15","032622 GOODYEAR DIALYSIS (FMC)","500 N BULLARD AVE STE C34","","GOODYEAR","AZ","85338","MARICOPA","6239258955","1","Y","FRESENIUS MEDICAL CARE","22Apr2016-13Jan2017","001","19","18","63","21","22","57","22","78","18","29","53","17","20","63","18","21","61","48"
"042534","13","DAVITA - OSCEOLA RENAL CTR","1332 W KEISER AVE","","OSCEOLA","AR","72370","MISSISSIPPI","8705634901","1","Y","DAVITA","22Apr2016-13Jan2017","001","12","8","80","16","10","74","14","86","4","10","86","2","16","82","3","6","91","31"
"042535","13","DAVITA - PULASKI COUNTY DX","202 JOHN HARDIN DR","","JACKSONVILLE","AR","72076","PULASKI","5019821004","1","Y","DAVITA","22Apr2016-13Jan2017","101","","","","","","","","","","","","","","","","","",""
"042536","13","DAVITA - SOUTH ARKANSAS DIALYSIS -EL DORADO","620 W GROVE ST","","EL DORADO","AR","71730","UNION","8708628788","1","Y","DAVITA","22Apr2016-13Jan2017","001","21","13","66","22","19","59","21","79","12","24","64","15","22","63","13","17","70","71"
