"Provider number","Network","Facility name","Address line 1","Address line 2","City","State","Zip","County","Phone number","Profit or Non-Profit","Chain owned","Chain organization","ICH-CAHPS date","ICH-CAHPS data availability code","Lower box percent of patients nephrologists’ communication and caring","Middle box percent of patients nephrologists’ communication and caring","Top box percent of patients nephrologists’ communication and caring","Linearized score of Nephrologists’ communication and caring","Star rating of Nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Star rating of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients providing information to patients","Linearized score of providing information to patients","Star rating of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Star rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Star rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Star rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","ICH CAHPS Quality of patient care star rating"
"012500","08","FMC CAPITOL CITY","255 S JACKSON STREET","","MONTGOMERY","AL","36104","MONTGOMERY","(334) 263-1028","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","19","11","70","83","4","25","21","54","74","2","26","74","74","2","14","28","58","85","3","27","32","41","75","1","24","39","37","76","1","43","2"
"012501","08","GADSDEN DIALYSIS","409 SOUTH FIRST STREET","","GADSDEN","AL","35901","ETOWAH","(256) 547-2457","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012502","08","TUSCALOOSA UNIVERSITY DIALYSIS","220 15TH STREET","","TUSCALOOSA","AL","35401","TUSCALOOSA","(205) 345-6004","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","16","14","70","84","4","17","25","58","79","3","24","76","76","3","9","23","68","87","4","9","22","69","86","3","11","16","73","86","3","58","3"
"012505","08","PCD MONTGOMERY","1001 FOREST AVENUE","","MONTGOMERY","AL","36106","MONTGOMERY","(334) 269-9416","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","29","14","57","74","2","20","11","69","82","4","13","87","87","5","27","35","38","76","1","12","32","56","86","3","11","24","65","88","3","36","3"
"012506","08","DOTHAN DIALYSIS","216 GRACELAND DR.","","DOTHAN","AL","36305","HOUSTON","(334) 793-4077","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","13","14","73","86","4","9","24","67","86","5","12","88","88","5","8","20","72","90","4","3","27","70","92","5","3","19","78","92","4","34","5"
"012507","08","FMC MOBILE","2620 OLD SHELL RD","","MOBILE","AL","36607","MOBILE","(251) 476-2762","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","16","17","67","83","4","25","17","58","76","3","18","82","82","4","10","27","63","86","4","17","28","55","83","3","17","17","66","85","3","57","4"
"012508","08","BIRMINGHAM EAST DIALYSIS","1105 EAST PARK DRIVE","","BIRMINGHAM","AL","35235","JEFFERSON","(205) 833-6003","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","24","10","66","80","3","21","19","60","79","3","17","83","83","4","11","31","58","85","3","6","44","50","83","3","10","38","52","84","2","47","3"
"012509","08","FMC NORTH ALABAMA","1311 N MEMORIAL PKWY #200","","HUNTSVILLE","AL","35801","MADISON","(256) 536-8571","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012512","08","FMC SELMA","905 MEDICAL CENTER PARKWAY","","SELMA","AL","36701","DALLAS","(334) 874-9021","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012513","08","FMC LANGDALE","8 MEDICAL PARK","","VALLEY","AL","36854","CHAMBERS","(334) 756-4192","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012515","08","FMC OPELIKA","2609 VILLAGE PROFESSIONAL DR","STE 2","OPELIKA","AL","36801","LEE","(334) 749-5085","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","270","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012516","08","DSI SOUTH DIALYSIS","3201 3RD AVE SOUTH","","BIRMINGHAM","AL","35222","JEFFERSON","(205) 502-5300","Profit","Yes","DIVERSIFIED SPECIALTY INSTITUTES (DSI)","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012517","08","DVA HEALTHCARE RENAL CARE INC","15953 ATHENS LIMESTONE DRIVE","","ATHENS","AL","35613","LIMESTONE","(256) 233-4730","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","25","20","55","74","2","25","24","51","73","2","19","81","81","4","14","27","59","84","3","20","24","56","80","2","12","22","66","86","3","42","3"
"012519","08","FMC SCOTTSBORO","20998 JOHN T. REID HWY","","SCOTTSBORO","AL","35768","JACKSON","(256) 259-4777","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","17","13","70","81","3","22","10","68","78","3","22","78","78","3","9","15","76","87","4","20","9","71","85","3","15","8","77","87","3","39","3"
"012520","08","FMC TROY","606 BOTTS AVE","","TROY","AL","36081","PIKE","(334) 566-7266","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012521","08","DCI DOTHAN","1630 COLUMBIA HWY","","DOTHAN","AL","36303","HOUSTON","(334) 793-3519","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","001","9","14","77","89","5","7","27","66","86","5","8","92","92","5","0","31","69","92","5","5","36","59","88","4","3","24","73","92","4","43","5"
"012522","08","FMC HUNTSVILLE","2325 PANSY STREET","SUITE C","HUNTSVILLE","AL","35801","MADISON","(256) 536-1881","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012523","08","PHENIX CITY DIALYSIS","4391 RIVERCHASE DRIVE","","PHENIX CITY","AL","36867","RUSSELL","(334) 298-0294","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","33","6","61","71","1","30","16","54","71","2","25","75","75","2","21","21","58","81","2","25","37","38","77","1","24","31","45","81","2","45","2"
"012524","08","FMC EAST MOBILE","1217 GOVERNMENT ST","","MOBILE","AL","36604","MOBILE","(251) 438-6917","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","26","16","58","74","2","27","17","56","73","2","28","72","72","2","16","28","56","82","3","17","28","55","81","2","16","18","66","83","2","37","2"
"012525","08","FMC WEST MOBILE","6601 WALL STREET","SUITE A","MOBILE","AL","36695","MOBILE","(251) 633-2681","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","14","24","62","82","4","22","29","49","74","2","28","72","72","2","12","29","59","85","3","5","44","51","85","3","8","38","54","85","3","42","3"
"012526","08","RCG PRINCETON","708 COTTON AVE SW","","BIRMINGHAM","AL","35211","JEFFERSON","(205) 785-3500","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","001","23","14","63","78","3","20","16","64","80","3","29","71","71","1","19","29","52","77","1","10","28","62","86","3","11","28","61","85","3","42","2"
"012527","08","DCI ENTERPRISE","3861 SALEM ROAD","","ENTERPRISE","AL","36330","COFFEE","(334) 347-8233","Non-Profit","Yes","DIALYSIS CLINIC, INC.","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012528","08","FMC CAHABA VALLEY","120 CAHABA VALLEY PARKWAY","SUITE 150","PELHAM","AL","35124","SHELBY","(205) 988-0469","Profit","Yes","FRESENIUS MEDICAL CARE","04/21/2017 - 01/17/2018","101","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"012529","08","FLORENCE DIALYSIS","422 EAST DR. HICKS BLVD","","FLORENCE","AL","35630","LAUDERDALE","(256) 764-5050","Profit","Yes","DAVITA","04/21/2017 - 01/17/2018","001","22","26","52","75","2","18","24","58","79","3","22","78","78","3","18","31","51","82","3","13","27","60","86","3","16","24","60","85","3","56","3"
"012530","08","RAI EAST 11TH ST ANNISTON","522 EAST 11TH STREET","1ST FLOOR","ANNISTON","AL","36207","CALHOUN","(256) 237-7566","Profit","No","INDEPENDENT","04/21/2017 - 01/17/2018","001","10","17","73","87","4","17","18","65","81","4","35","65","65","1","3","28","69","91","4","17","23","60","84","3","11","20","69","89","4","30","3"
